Subject,Object,Rel,Count
"1,8-Diazabicyclo[5.4.0]undec-7-ene",Catalyst,CHM-APL,42
"1,8-Diiodooctane",Acceptor,CHM-APL,33
"1,8-Diiodooctane",Active Layer,CHM-APL,39
"1,8-Diiodooctane",BHJ,CHM-APL,39
"1,8-Diiodooctane",Donor,CHM-APL,33
"1,8-Diiodooctane",PSCS,CHM-APL,35
"1,8-Diiodooctane",Polymer Solar Cell,CHM-APL,37
"1,8-Diiodooctane",Solar Cell,CHM-APL,43
1-Alkenes,Catalyst,CHM-APL,95
1-Alkyl-3-Methylimidazolium,Liquids,CHM-APL,35
1-Butanol,Catalyst,CHM-APL,274
1-Butanol,Columns,CHM-APL,33
1-Butanol,Electrode,CHM-APL,56
1-Butanol,Electrodes,CHM-APL,35
1-Butanol,Oxidation,CHM-APL,37
1-Butanol,Sensor,CHM-APL,44
1-Butene,1-Butene Isomerization,CHM-APL,46
1-Butene,Catalyst,CHM-APL,672
1-Butene,Hydrogenation,CHM-APL,75
1-Butene,Isomerization,CHM-APL,65
1-Butene,Oxidation,CHM-APL,52
1-Butene,Reactors,CHM-APL,32
1-Butyl-3-Methylimidazolium Chloride,Catalyst,CHM-APL,39
1-Butyl-3-Methylimidazolium Tetrafluoroborate,Catalyst,CHM-APL,41
1-Butyl-3-Methylimidazolium Tetrafluoroborate,Electrode,CHM-APL,73
1-Butyl-3-Methylimidazolium Tetrafluoroborate,Electrodes,CHM-APL,35
1-Butyl-3-Methylimidazolium Tetrafluoroborate,Electrolyte,CHM-APL,51
1-CPE,CPE,CHM-APL,34
1-Decene,Catalyst,CHM-APL,96
1-Decene,Hydroformylation,CHM-APL,31
1-Dodecanethiol,Electrode,CHM-APL,57
1-Dodecanethiol,Electrodes,CHM-APL,39
1-Dodecene,Catalyst,CHM-APL,96
1-Dodecene,Hydroformylation,CHM-APL,48
1-Ethyl-3-(3-Dimethylaminopropyl) Carbodiimide,Electrode,CHM-APL,33
1-Ethyl-3-Methylimidazolium,Electrode,CHM-APL,31
1-Ethyl-3-Methylimidazolium,Electrolyte,CHM-APL,42
1-Ethyl-3-Methylimidazolium Bis(trifluoromethylsulfonyl)imide,Electrolyte,CHM-APL,37
1-Ethyl-3-Methylimidazolium Tetrafluoroborate,Electrode,CHM-APL,88
1-Ethyl-3-Methylimidazolium Tetrafluoroborate,Electrodes,CHM-APL,46
1-Ethyl-3-Methylimidazolium Tetrafluoroborate,Electrolyte,CHM-APL,80
1-Ethyl-3-Methylimidazolium Tetrafluoroborate,Supercapacitor,CHM-APL,45
1-Heptene,Catalyst,CHM-APL,40
1-Hexanol,Catalyst,CHM-APL,63
1-Hexene,1-Hexene Polymerization,CHM-APL,30
1-Hexene,Catalyst,CHM-APL,693
1-Hexene,Catalytic,CHM-APL,44
1-Hexene,Copolymerization,CHM-APL,40
1-Hexene,Epoxidation,CHM-APL,54
1-Hexene,Ethylene Polymerization,CHM-APL,59
1-Hexene,Hydroformylation,CHM-APL,82
1-Hexene,Hydrogenation,CHM-APL,110
1-Hexene,Oxidation,CHM-APL,53
1-Hexene,Polymerisation,CHM-APL,63
1-MN,Catalyst,CHM-APL,35
1-Methyl-3-Propylimidazolium Iodide,Dye-Sensitized Solar Cells,CHM-APL,32
1-Methyl-3-Propylimidazolium Iodide,Electrolyte,CHM-APL,47
1-Methylimidazole,Catalyst,CHM-APL,40
1-Methylnaphthalene,Catalyst,CHM-APL,87
1-Naphthol,Catalyst,CHM-APL,40
1-Octanol,Catalyst,CHM-APL,123
1-Octanol,Oxidation,CHM-APL,40
1-Octene,Catalyst,CHM-APL,556
1-Octene,Catalytic,CHM-APL,39
1-Octene,Epoxidation,CHM-APL,111
1-Octene,Hydroformylation,CHM-APL,195
1-Octene,Hydroformylation Of,CHM-APL,41
1-Octene,Hydrogenation,CHM-APL,74
1-Octene,Oxidation,CHM-APL,44
1-Olefins,Catalyst,CHM-APL,73
1-Pentanol,Catalyst,CHM-APL,53
1-Pentene,Catalyst,CHM-APL,92
1-Phenyl Ethanol,Aerobic Oxidation,CHM-APL,42
1-Phenyl Ethanol,Catalyst,CHM-APL,262
1-Phenyl Ethanol,Hydrogenation,CHM-APL,52
1-Phenyl Ethanol,Oxidation,CHM-APL,148
1-Propanol,Catalyst,CHM-APL,227
1-Propanol,Coatings,CHM-APL,37
1-Propanol,Columns,CHM-APL,52
1-Propanol,Electrode,CHM-APL,56
1-Propanol,Electrodes,CHM-APL,47
1-Propanol,Sensor,CHM-APL,55
1.0MPa,Catalyst,CHM-APL,33
100,Catalyst,CHM-APL,68
100,Coatings,CHM-APL,37
100,Electrode,CHM-APL,45
1000,Catalyst,CHM-APL,56
1000,Electrode,CHM-APL,40
1000,Electrodes,CHM-APL,31
100Fe,Catalyst,CHM-APL,33
100fM,Electrode,CHM-APL,34
109Cd,Detector,CHM-APL,38
10Be,AMS,CHM-APL,50
10Be,Glaciers,CHM-APL,64
10Be,Moraine,CHM-APL,59
10Fe,Catalyst,CHM-APL,30
11-MUA,Electrode,CHM-APL,31
11-Mercaptoundecanoic Acid,Bio-Sensor,CHM-APL,32
11-Mercaptoundecanoic Acid,Electrode,CHM-APL,86
11-Mercaptoundecanoic Acid,Electrodes,CHM-APL,56
11-Mercaptoundecanoic Acid,Sensor,CHM-APL,40
119Sn,Catalyst,CHM-APL,38
12-Tungstophosphoric Acid,Catalyst,CHM-APL,87
125I,Tumours,CHM-APL,32
129Xe,Catalyst,CHM-APL,47
12CH4,Catalyst,CHM-APL,41
12CO,Catalyst,CHM-APL,74
12CO2,Catalyst,CHM-APL,61
13C,Absorbent,CHM-APL,39
13C,Adsorbent,CHM-APL,126
13C,Anode,CHM-APL,68
13C,Anticancer Agent,CHM-APL,34
13C,Antimicrobial Agent,CHM-APL,32
13C,Aquifer,CHM-APL,30
13C,Bio Diesel,CHM-APL,47
13C,Biomaterial,CHM-APL,42
13C,Biomedical Application,CHM-APL,30
13C,Breast Cancer,CHM-APL,41
13C,CO2,CHM-APL,52
13C,CO2 Absorption,CHM-APL,61
13C,CO2 Capture,CHM-APL,54
13C,Cancer,CHM-APL,61
13C,Catalysis,CHM-APL,60
13C,Catalyst,CHM-APL,1944
13C,Catalytic,CHM-APL,80
13C,Cathode,CHM-APL,87
13C,Cell,CHM-APL,110
13C,Cells,CHM-APL,66
13C,Chemosensor,CHM-APL,50
13C,Coatings,CHM-APL,210
13C,Cocatalyst,CHM-APL,49
13C,Copolymerization,CHM-APL,32
13C,Electrode,CHM-APL,297
13C,Electrodes,CHM-APL,144
13C,Electrolyte,CHM-APL,201
13C,Epoxidation,CHM-APL,50
13C,Ethylene Polymerization,CHM-APL,118
13C,Filters,CHM-APL,32
13C,Fuel Cell,CHM-APL,30
13C,Heterogeneous Catalyst,CHM-APL,75
13C,Hydrogenation,CHM-APL,79
13C,Inhibitor,CHM-APL,36
13C,Liquids,CHM-APL,48
13C,Macrophages,CHM-APL,30
13C,Membrane,CHM-APL,80
13C,Molecular Sieve,CHM-APL,34
13C,NMR,CHM-APL,82
13C,Oil,CHM-APL,36
13C,Oxidation,CHM-APL,139
13C,Pharmaceutical,CHM-APL,37
13C,Photocatalyst,CHM-APL,45
13C,Photocatalysts,CHM-APL,34
13C,Photosensitizer,CHM-APL,32
13C,Polymerisation,CHM-APL,78
13C,Polymers,CHM-APL,31
13C,Probes,CHM-APL,41
13C,Reactors,CHM-APL,38
13C,Reductions,CHM-APL,30
13C,Reference Electrode,CHM-APL,39
13C,Ring Opening Polymerization,CHM-APL,41
13C,Rotors,CHM-APL,36
13C,Sensor,CHM-APL,95
13C,Sorbent,CHM-APL,38
13C,Sorbents,CHM-APL,46
13C,Thermoset,CHM-APL,34
13C,Tumours,CHM-APL,41
13C,Working Electrodes,CHM-APL,64
13C Methanol,Catalyst,CHM-APL,35
13CH4,Catalyst,CHM-APL,75
13CO,Catalyst,CHM-APL,137
13CO2,CO2 Reduction,CHM-APL,43
13CO2,Catalyst,CHM-APL,133
13CO2,Electrode,CHM-APL,33
13CO2,Photocatalyst,CHM-APL,38
13C{1H},Catalyst,CHM-APL,60
14C,AMS,CHM-APL,78
14C,Aquifer,CHM-APL,98
14C,Catalyst,CHM-APL,50
14C,Dating,CHM-APL,63
14C,Detector,CHM-APL,31
14C,Glaciers,CHM-APL,31
14C,Lake,CHM-APL,58
152Eu,Detector,CHM-APL,68
15N,Catalyst,CHM-APL,111
15N,Coatings,CHM-APL,40
15N,NMR,CHM-APL,42
15NO,Catalyst,CHM-APL,55
16O,CAI,CHM-APL,36
16O,CAIS,CHM-APL,33
16O,Catalyst,CHM-APL,65
16O2,Catalyst,CHM-APL,131
16O2,Oxidation,CHM-APL,31
17O,Catalyst,CHM-APL,43
17O,Electrolyte,CHM-APL,33
17β-Estradiol,Breast Cancer,CHM-APL,45
17β-Estradiol,Electrode,CHM-APL,38
17β-Estradiol,Receptor,CHM-APL,31
18-Crown-6,Catalyst,CHM-APL,35
180C,Anode,CHM-APL,41
180C,Catalyst,CHM-APL,573
180C,Cathode,CHM-APL,34
180C,Cell,CHM-APL,73
180C,Cells,CHM-APL,57
180C,Coatings,CHM-APL,60
180C,DSSCS,CHM-APL,32
180C,Electrode,CHM-APL,216
180C,Electrodes,CHM-APL,192
180C,Electrolyte,CHM-APL,56
180C,Hydrogenation,CHM-APL,48
180C,Photocatalyst,CHM-APL,36
180C,Photocatalysts,CHM-APL,56
180C,Photocatalytic Degradation,CHM-APL,50
180C,Reactors,CHM-APL,34
180C,Sensor,CHM-APL,71
180C,Solar Cell,CHM-APL,63
18F,Pet,CHM-APL,51
18F-FDG,Pet,CHM-APL,35
18O,Aquifer,CHM-APL,72
18O,Catalyst,CHM-APL,205
18O,Cathode,CHM-APL,31
18O,Electrode,CHM-APL,66
18O,Electrodes,CHM-APL,33
18O,Electrolyte,CHM-APL,43
18O,Oxidation,CHM-APL,72
18O2,CO Oxidation,CHM-APL,40
18O2,Catalyst,CHM-APL,255
18O2,Electrode,CHM-APL,39
18O2,Oxidation,CHM-APL,67
19F,Anode,CHM-APL,44
19F,Catalyst,CHM-APL,125
19F,Cathode,CHM-APL,63
19F,Cathodes,CHM-APL,39
19F,Cell,CHM-APL,82
19F,Cells,CHM-APL,97
19F,Coatings,CHM-APL,32
19F,Electrode,CHM-APL,123
19F,Electrodes,CHM-APL,77
19F,Electrolyte,CHM-APL,212
19F,NMR,CHM-APL,35
19F,Working Electrodes,CHM-APL,39
1Butyl3Methylimidazolium Hexafluorophosphate,Electrode,CHM-APL,68
1H,4t1,CHM-APL,41
1H,AEM,CHM-APL,68
1H,AEMS,CHM-APL,93
1H,AEMs,CHM-APL,81
1H,AG,CHM-APL,37
1H,Absorbent,CHM-APL,31
1H,Acceptor,CHM-APL,37
1H,Active Layer,CHM-APL,97
1H,Adhesive,CHM-APL,71
1H,Adsorbent,CHM-APL,109
1H,Alzheimer's Disease,CHM-APL,30
1H,Amphiphile,CHM-APL,36
1H,Anion Exchange Membrane,CHM-APL,89
1H,Anion Receptor,CHM-APL,75
1H,Anode,CHM-APL,238
1H,Anodes,CHM-APL,54
1H,Anti-Cancer,CHM-APL,108
1H,Antibacterial Agent,CHM-APL,31
1H,Antibiotic,CHM-APL,33
1H,Anticancer Agent,CHM-APL,64
1H,Anticancer Drugs,CHM-APL,101
1H,Antimicrobial Agent,CHM-APL,56
1H,Antioxidant,CHM-APL,70
1H,Bacteria,CHM-APL,33
1H,Batteries,CHM-APL,49
1H,Battery,CHM-APL,87
1H,Binders,CHM-APL,40
1H,Bio Diesel,CHM-APL,145
1H,Bio-Medical,CHM-APL,38
1H,Bio-Sensor,CHM-APL,45
1H,Biodiesel Production,CHM-APL,41
1H,Biofuel,CHM-APL,30
1H,Biomaterial,CHM-APL,105
1H,Biomedical Application,CHM-APL,118
1H,Breast Cancer,CHM-APL,130
1H,CE,CHM-APL,43
1H,CO2,CHM-APL,53
1H,CO2 Capture,CHM-APL,32
1H,CO2 Reduction,CHM-APL,37
1H,Cancer,CHM-APL,137
1H,Cancer Cell,CHM-APL,45
1H,Cancer Therapy,CHM-APL,40
1H,Capacitor,CHM-APL,41
1H,Capsule,CHM-APL,31
1H,Carrier,CHM-APL,33
1H,Catalysis,CHM-APL,155
1H,Catalyst,CHM-APL,3226
1H,Catalytic,CHM-APL,131
1H,Catalytic Cycle,CHM-APL,34
1H,Catalytic Hydrogenation,CHM-APL,40
1H,Catalytic Oxidation,CHM-APL,49
1H,Catalytic Reaction,CHM-APL,53
1H,Cathode,CHM-APL,279
1H,Cathodes,CHM-APL,81
1H,Cell,CHM-APL,449
1H,Cells,CHM-APL,416
1H,Chemosensor,CHM-APL,276
1H,Chemotherapy,CHM-APL,35
1H,Chromophore,CHM-APL,57
1H,Coatings,CHM-APL,600
1H,Cocatalyst,CHM-APL,48
1H,Coil,CHM-APL,44
1H,Coli,CHM-APL,51
1H,Columns,CHM-APL,58
1H,Contrast Agent,CHM-APL,54
1H,Copolymerization,CHM-APL,32
1H,Counter,CHM-APL,33
1H,Counter Electrode,CHM-APL,173
1H,DESS,CHM-APL,48
1H,DMFC,CHM-APL,44
1H,DNA,CHM-APL,48
