Subject,Object,Rel,Count
A-Phase,Alloy,SPL-DSC,118
A-Phase,Alloys,SPL-DSC,90
A-Phase,Bulk,SPL-DSC,32
A-Phase,Crystalline,SPL-DSC,35
A-Phase,Film,SPL-DSC,45
A-Phase,Films,SPL-DSC,47
A-Phase,Layers,SPL-DSC,30
A-Phase,Particles,SPL-DSC,46
A-Phase,Powder,SPL-DSC,32
A-Phase,Substrate,SPL-DSC,41
A-Phase,Surface,SPL-DSC,43
A-Type,Bulk,SPL-DSC,41
A-Type,Crystal,SPL-DSC,54
A-Type,Film,SPL-DSC,31
A-Type,Granite,SPL-DSC,39
A-Type,Layers,SPL-DSC,55
A-Type,Rocks,SPL-DSC,31
A-Type,Substrate,SPL-DSC,38
A-Type,Surface,SPL-DSC,71
A-Type,Zircons,SPL-DSC,36
A1,Alloy,SPL-DSC,44
A1,Surface,SPL-DSC,42
A15,Alloys,SPL-DSC,30
A2,Alloy,SPL-DSC,52
A3,Surface,SPL-DSC,45
ABA,Block Copolymer,SPL-DSC,64
ABA,Copolymer,SPL-DSC,52
ABA,Layers,SPL-DSC,61
ABA,Micelles,SPL-DSC,30
ABA,Surface,SPL-DSC,35
ABA,Triblock,SPL-DSC,55
ABA,Triblock Copolymer,SPL-DSC,130
ABA,Trilayers,SPL-DSC,34
ACT,Composite,SPL-DSC,39
ACT,Films,SPL-DSC,31
ACT,Layers,SPL-DSC,44
ACT,Nanoparticles,SPL-DSC,101
ACT,Particles,SPL-DSC,60
ACT,Surface,SPL-DSC,105
AML,Bone,SPL-DSC,38
AML,Bone Marrow,SPL-DSC,30
AML,Cell,SPL-DSC,39
AML,Cells,SPL-DSC,59
Abab,Layers,SPL-DSC,45
Abstract,1D,SPL-DSC,61
Abstract,2D,SPL-DSC,96
Abstract,3D,SPL-DSC,160
Abstract,Alloy,SPL-DSC,325
Abstract,Alloys,SPL-DSC,204
Abstract,Amorphous,SPL-DSC,210
Abstract,As Prepared,SPL-DSC,159
Abstract,As-Synthesized,SPL-DSC,64
Abstract,Bulk,SPL-DSC,196
Abstract,Ceramic,SPL-DSC,99
Abstract,Chains,SPL-DSC,51
Abstract,Cluster,SPL-DSC,110
Abstract,Co-Doped,SPL-DSC,41
Abstract,Coated,SPL-DSC,45
Abstract,Composite,SPL-DSC,439
Abstract,Coordination Polymer,SPL-DSC,42
Abstract,Core,SPL-DSC,53
Abstract,Crystal,SPL-DSC,248
Abstract,Crystalline,SPL-DSC,200
Abstract,Crystallite,SPL-DSC,37
Abstract,Doped,SPL-DSC,499
Abstract,Fiber,SPL-DSC,36
Abstract,Fibers,SPL-DSC,34
Abstract,Film,SPL-DSC,393
Abstract,Films,SPL-DSC,456
Abstract,Foam,SPL-DSC,40
Abstract,Foil,SPL-DSC,36
Abstract,Glass,SPL-DSC,71
Abstract,Glasses,SPL-DSC,42
Abstract,Glassy,SPL-DSC,74
Abstract,Hierarchical,SPL-DSC,32
Abstract,Interface,SPL-DSC,230
Abstract,Layered,SPL-DSC,162
Abstract,Layers,SPL-DSC,545
Abstract,Matrix,SPL-DSC,59
Abstract,Membrane,SPL-DSC,134
Abstract,Mesoporous,SPL-DSC,212
Abstract,Micro,SPL-DSC,31
Abstract,Microspheres,SPL-DSC,54
Abstract,Monolayers,SPL-DSC,52
Abstract,Multilayer,SPL-DSC,30
Abstract,Multiwall,SPL-DSC,57
Abstract,NPS,SPL-DSC,109
Abstract,Nano,SPL-DSC,33
Abstract,Nano Size,SPL-DSC,41
Abstract,Nano Structured,SPL-DSC,128
Abstract,Nano-,SPL-DSC,92
Abstract,Nanocomposite,SPL-DSC,142
Abstract,Nanocrystalline,SPL-DSC,97
Abstract,Nanocrystals,SPL-DSC,97
Abstract,Nanofiber,SPL-DSC,59
Abstract,Nanomaterial,SPL-DSC,67
Abstract,Nanoparticle,SPL-DSC,105
Abstract,Nanoparticles,SPL-DSC,771
Abstract,Nanoporous,SPL-DSC,47
Abstract,Nanopowder,SPL-DSC,31
Abstract,Nanorods,SPL-DSC,135
Abstract,Nanoscale,SPL-DSC,49
Abstract,Nanosheets,SPL-DSC,93
Abstract,Nanosphere,SPL-DSC,39
Abstract,Nanostructure,SPL-DSC,61
Abstract,Nanostructures,SPL-DSC,141
Abstract,Nanotube,SPL-DSC,234
Abstract,Nanowires,SPL-DSC,108
Abstract,One-Dimensional,SPL-DSC,49
Abstract,Particle,SPL-DSC,44
Abstract,Particles,SPL-DSC,471
Abstract,Polycrystalline,SPL-DSC,114
Abstract,Polymers,SPL-DSC,46
Abstract,Porous,SPL-DSC,258
Abstract,Powder,SPL-DSC,223
Abstract,Powders,SPL-DSC,135
Abstract,Precipitates,SPL-DSC,48
Abstract,Pure,SPL-DSC,74
Abstract,QDS,SPL-DSC,40
Abstract,Quantum Dots,SPL-DSC,55
Abstract,Sheet,SPL-DSC,31
Abstract,Sheets,SPL-DSC,69
Abstract,Shell,SPL-DSC,71
Abstract,Single Crystal,SPL-DSC,235
Abstract,Single Crystalline,SPL-DSC,49
Abstract,Single Phase,SPL-DSC,106
Abstract,Singlet,SPL-DSC,36
Abstract,Solid Solution,SPL-DSC,90
Abstract,Sphere,SPL-DSC,37
Abstract,Spherical,SPL-DSC,42
Abstract,Stoichiometries,SPL-DSC,38
Abstract,Substituted,SPL-DSC,32
Abstract,Substrate,SPL-DSC,514
Abstract,Surface,SPL-DSC,916
Abstract,Surfaces,SPL-DSC,198
Abstract,Thin,SPL-DSC,54
Abstract,Thin Films,SPL-DSC,330
Abstract,Three Dimensional,SPL-DSC,63
Abstract,Two-Dimensional,SPL-DSC,48
Abstract,Ultra-Thin,SPL-DSC,35
Abstract,Undoped,SPL-DSC,37
Abstract,Wafers,SPL-DSC,30
Ac,Bilayer,SPL-DSC,31
Ac,Bulk,SPL-DSC,32
Ac,Layers,SPL-DSC,49
Ac,Monolayers,SPL-DSC,34
Ac,Substrate,SPL-DSC,37
Ac,Surface,SPL-DSC,64
Acentric,Crystal,SPL-DSC,31
Acentric,Single Crystal,SPL-DSC,31
Achondrite,Bulk,SPL-DSC,38
Achondrite,Meteorite,SPL-DSC,72
Acicular,Alloy,SPL-DSC,73
Acicular,Alloys,SPL-DSC,30
Acicular,Granular,SPL-DSC,45
Acicular,Inclusions,SPL-DSC,39
Acicular,Microalloyed,SPL-DSC,37
Acicular,Precipitates,SPL-DSC,34
Adakite,Zircons,SPL-DSC,34
Adenocarcinoma,Cell,SPL-DSC,36
Adenocarcinoma,Cells,SPL-DSC,53
Alkaline,Crust,SPL-DSC,30
Alkaline,Crystal,SPL-DSC,33
Alkaline,Lavas,SPL-DSC,34
Alkaline,Mantle,SPL-DSC,35
Alkaline,Zircons,SPL-DSC,46
Alpha,Alloy,SPL-DSC,304
Alpha,Alloys,SPL-DSC,164
Alpha,Amorphous,SPL-DSC,41
Alpha,As-Received,SPL-DSC,55
Alpha,Bulk,SPL-DSC,37
Alpha,Ceramic,SPL-DSC,33
Alpha,Composite,SPL-DSC,47
Alpha,Crystal,SPL-DSC,63
Alpha,Crystalline,SPL-DSC,31
Alpha,Film,SPL-DSC,42
Alpha,Films,SPL-DSC,40
Alpha,Interface,SPL-DSC,86
Alpha,Lamellar,SPL-DSC,53
Alpha,Layers,SPL-DSC,110
Alpha,Matrix,SPL-DSC,60
Alpha,Nanoparticles,SPL-DSC,31
Alpha,Particles,SPL-DSC,99
Alpha,Powder,SPL-DSC,63
Alpha,Powders,SPL-DSC,37
Alpha,Precipitates,SPL-DSC,52
Alpha,Pure,SPL-DSC,33
Alpha,Substrate,SPL-DSC,62
Alpha,Surface,SPL-DSC,181
Alpha,Surfaces,SPL-DSC,48
Alveolar,Bone,SPL-DSC,36
Alveolar,Cells,SPL-DSC,44
