Subject,Object,Rel,Count
AFM,Brookite,CMT-SPL,38
AFM,Calcite,CMT-SPL,32
AFM,Cassie,CMT-SPL,33
AFM,Chalcopyrite,CMT-SPL,40
AFM,Chondrite,CMT-SPL,39
AFM,Cubic,CMT-SPL,867
AFM,F,CMT-SPL,30
AFM,FCC,CMT-SPL,327
AFM,Face Centered Cubic,CMT-SPL,100
AFM,Fluorite,CMT-SPL,31
AFM,G,CMT-SPL,64
AFM,Garnet,CMT-SPL,116
AFM,Graphitic,CMT-SPL,128
AFM,HCP,CMT-SPL,138
AFM,Hexagonal,CMT-SPL,2182
AFM,Hexagonal Wurtzite,CMT-SPL,131
AFM,Hexagonally,CMT-SPL,91
AFM,Icosahedral,CMT-SPL,33
AFM,Lc,CMT-SPL,86
AFM,Martensite,CMT-SPL,74
AFM,Martensitic,CMT-SPL,48
AFM,Monoclinic,CMT-SPL,416
AFM,Nematic,CMT-SPL,84
AFM,Olivines,CMT-SPL,30
AFM,Orthorhombic,CMT-SPL,343
AFM,Osteoblasts,CMT-SPL,34
AFM,P,CMT-SPL,35
AFM,Perovskites,CMT-SPL,1605
AFM,Rhombohedral,CMT-SPL,178
AFM,Rock Salt,CMT-SPL,30
AFM,Rutile,CMT-SPL,477
AFM,S T,CMT-SPL,95
AFM,Smectic,CMT-SPL,35
AFM,Spinels,CMT-SPL,156
AFM,T,CMT-SPL,141
AFM,Tetragonal,CMT-SPL,423
AFM,Triclinic,CMT-SPL,58
AFM,Trigonal,CMT-SPL,70
AFM,Wurtzite,CMT-SPL,226
AFM,Zinc Blende,CMT-SPL,63
AFM,β,CMT-SPL,96
AFM,β-Phase,CMT-SPL,36
AFM Height Images,Hexagonal,CMT-SPL,38
AFM Topography,Cubic,CMT-SPL,36
AFM Topography,Hexagonal,CMT-SPL,102
AFM Topography,Perovskites,CMT-SPL,113
AIMD,Cubic,CMT-SPL,31
APT,Austenite,CMT-SPL,91
APT,BCC,CMT-SPL,57
APT,FCC,CMT-SPL,75
APT,Martensite,CMT-SPL,65
APT,β,CMT-SPL,30
APT,γ',CMT-SPL,41
ARPES,Hexagonal,CMT-SPL,65
ATR,Anatase,CMT-SPL,30
ATR,Hexagonal,CMT-SPL,32
ATR-FT-IR,Anatase,CMT-SPL,42
ATR-FT-IR,Hexagonal,CMT-SPL,36
AUG-CC-PVTZ,C2V,CMT-SPL,33
Ab Initio,BCC,CMT-SPL,72
Ab Initio,C2V,CMT-SPL,39
Ab Initio,Cubic,CMT-SPL,71
Ab Initio,FCC,CMT-SPL,98
Ab Initio,HCP,CMT-SPL,46
Ab Initio,Hexagonal,CMT-SPL,71
Ab Initio,Orthorhombic,CMT-SPL,35
Ab Initio,Perovskites,CMT-SPL,54
Ab Initio,Wurtzite,CMT-SPL,31
Ab Initio,Zinc Blende,CMT-SPL,31
Ab Initio Calculations,Anatase,CMT-SPL,37
Ab Initio Calculations,B1,CMT-SPL,30
Ab Initio Calculations,B2,CMT-SPL,38
Ab Initio Calculations,BCC,CMT-SPL,104
Ab Initio Calculations,Body Centred Cubic,CMT-SPL,33
Ab Initio Calculations,C2V,CMT-SPL,60
Ab Initio Calculations,CS,CMT-SPL,30
Ab Initio Calculations,Cubic,CMT-SPL,198
Ab Initio Calculations,FCC,CMT-SPL,135
Ab Initio Calculations,Face Centered Cubic,CMT-SPL,51
Ab Initio Calculations,HCP,CMT-SPL,72
Ab Initio Calculations,Heusler,CMT-SPL,50
Ab Initio Calculations,Hexagonal,CMT-SPL,210
Ab Initio Calculations,Monoclinic,CMT-SPL,84
Ab Initio Calculations,Orthorhombic,CMT-SPL,125
Ab Initio Calculations,Perovskites,CMT-SPL,151
Ab Initio Calculations,Rhombohedral,CMT-SPL,33
Ab Initio Calculations,Rock Salt,CMT-SPL,32
Ab Initio Calculations,Rutile,CMT-SPL,56
Ab Initio Calculations,Spinels,CMT-SPL,51
Ab Initio Calculations,Tetragonal,CMT-SPL,102
Ab Initio Calculations,Trigonal,CMT-SPL,30
Ab Initio Calculations,Wurtzite,CMT-SPL,71
Ab Initio Calculations,Zinc Blende,CMT-SPL,60
Absorbance,Anatase,CMT-SPL,52
Absorbance,Cubic,CMT-SPL,65
Absorbance,Hexagonal,CMT-SPL,58
Absorbance,Orthorhombic,CMT-SPL,33
Absorbance,Perovskites,CMT-SPL,139
Absorbance Spectrum,Anatase,CMT-SPL,72
Absorbance Spectrum,Cubic,CMT-SPL,69
Absorbance Spectrum,Hexagonal,CMT-SPL,63
Absorbance Spectrum,Perovskites,CMT-SPL,176
Absorbance Spectrum,Rutile,CMT-SPL,32
Absorbance Spectrum,Tetragonal,CMT-SPL,30
Absorption,Anatase,CMT-SPL,181
Absorption,C2V,CMT-SPL,35
Absorption,Chalcopyrite,CMT-SPL,37
Absorption,Cubic,CMT-SPL,428
Absorption,FCC,CMT-SPL,61
Absorption,Garnet,CMT-SPL,61
Absorption,Hexagonal,CMT-SPL,338
Absorption,Merocyanine,CMT-SPL,33
Absorption,Monoclinic,CMT-SPL,148
Absorption,Nematic,CMT-SPL,32
Absorption,Orthorhombic,CMT-SPL,146
Absorption,Perovskites,CMT-SPL,627
Absorption,Rhombohedral,CMT-SPL,35
Absorption,Rutile,CMT-SPL,100
Absorption,Spinels,CMT-SPL,35
Absorption,Tetragonal,CMT-SPL,137
Absorption,Triclinic,CMT-SPL,37
Absorption,Trigonal,CMT-SPL,41
Absorption,Wurtzite,CMT-SPL,143
Absorption,Zb,CMT-SPL,31
Absorption,Zinc Blende,CMT-SPL,101
Absorption,β,CMT-SPL,32
Absorption Spectrum,Anatase,CMT-SPL,420
Absorption Spectrum,Brookite,CMT-SPL,30
Absorption Spectrum,C2V,CMT-SPL,39
Absorption Spectrum,Chalcopyrite,CMT-SPL,33
Absorption Spectrum,Cubic,CMT-SPL,453
Absorption Spectrum,Double Perovskite,CMT-SPL,37
Absorption Spectrum,FCC,CMT-SPL,81
Absorption Spectrum,Garnet,CMT-SPL,52
Absorption Spectrum,Hexagonal,CMT-SPL,435
Absorption Spectrum,Icosahedral,CMT-SPL,33
Absorption Spectrum,Merocyanine,CMT-SPL,40
Absorption Spectrum,Monoclinic,CMT-SPL,151
Absorption Spectrum,Orthorhombic,CMT-SPL,184
Absorption Spectrum,Perovskites,CMT-SPL,1015
Absorption Spectrum,Rhombohedral,CMT-SPL,44
Absorption Spectrum,Rutile,CMT-SPL,236
Absorption Spectrum,Spinels,CMT-SPL,40
Absorption Spectrum,T,CMT-SPL,35
Absorption Spectrum,Tetragonal,CMT-SPL,179
Absorption Spectrum,Trigonal,CMT-SPL,52
Absorption Spectrum,Wurtzite,CMT-SPL,175
Absorption Spectrum,Zinc Blende,CMT-SPL,97
Action Spectra,Anatase,CMT-SPL,37
Adsorption,Hexagonal,CMT-SPL,61
Adsorption Desorption Isotherms,Anatase,CMT-SPL,52
Adsorption Desorption Isotherms,Hexagonal,CMT-SPL,31
Adsorption Isotherm,Anatase,CMT-SPL,111
Adsorption Isotherm,Cubic,CMT-SPL,75
Adsorption Isotherm,Hexagonal,CMT-SPL,162
Adsorption Isotherm,MFI,CMT-SPL,32
Adsorption Isotherm,Rutile,CMT-SPL,59
Aes,Cubic,CMT-SPL,62
Aes,FCC,CMT-SPL,40
Aes,Hexagonal,CMT-SPL,126
Aes,Perovskites,CMT-SPL,43
Aes,Spinels,CMT-SPL,38
Ageing Tests,Perovskites,CMT-SPL,38
Alizarin Red S Staining,Osteoblasts,CMT-SPL,69
Analysis,Anatase,CMT-SPL,38
Analysis,Austenite,CMT-SPL,36
Analysis,Breast,CMT-SPL,44
Analysis,Cubic,CMT-SPL,86
Analysis,FCC,CMT-SPL,43
Analysis,Hexagonal,CMT-SPL,104
Analysis,Monoclinic,CMT-SPL,51
Analysis,Orthorhombic,CMT-SPL,37
Analysis,Perovskites,CMT-SPL,94
Analysis,S T,CMT-SPL,47
Analysis,Spinels,CMT-SPL,43
Analysis,T,CMT-SPL,40
Analysis,Tetragonal,CMT-SPL,48
Angle Resolved Photoemission Spectroscopy,Hexagonal,CMT-SPL,30
Apt,Austenite,CMT-SPL,67
Apt,BCC,CMT-SPL,32
Apt,FCC,CMT-SPL,39
Apt,Martensite,CMT-SPL,41
Apt,Martensitic,CMT-SPL,34
Arrhenius Law,Monoclinic,CMT-SPL,35
Arrhenius Law,Tetragonal,CMT-SPL,30
Arrhenius Plot,Anatase,CMT-SPL,100
Arrhenius Plot,BCC,CMT-SPL,75
Arrhenius Plot,Cubic,CMT-SPL,475
Arrhenius Plot,Cubic Perovskites,CMT-SPL,45
Arrhenius Plot,FCC,CMT-SPL,135
Arrhenius Plot,Fluorite,CMT-SPL,82
Arrhenius Plot,Garnet,CMT-SPL,75
Arrhenius Plot,HCP,CMT-SPL,53
